Year,Status,No.,Schools,New Students,Students,Repeaters,Drop-Outs,Graduates,Teachers,Non-teaching Staffs,Classes,Classrooms
2022,Private,1,76,827,3372,0,9,873,715,110,940,916
2021,Public,1,13,484,2604,0,2,476,22,56,525,571
2021,Private,1,75,554,3489,0,1,829,145,106,831,1138
2023,Public,1,13,699,2732,0,3,608,613,55,535,537
2021,Public,2,46,1233,5605,0,12,1274,76,431,1518,782
2021,Private,2,339,3761,19212,0,24,4333,645,309,5125,2918
2022,Public,1,13,547,2626,0,1,607,571,55,409,541
2021,Public,3,8,240,1281,0,2,209,14,50,399,137
2021,Private,3,96,926,4775,0,8,1111,154,105,1333,986
2022,Private,2,338,4966,19916,0,47,4695,2908,318,5022,2307
2021,Public,4,39,1773,9266,0,26,1904,66,185,1415,1038
2021,Private,4,150,1869,10069,0,7,2120,276,110,1964,2135
2021,Public,5,9,298,1395,0,2,359,18,98,329,358
2021,Private,5,70,564,3496,0,0,894,126,61,986,1176
2021,Public,6,72,1042,5506,0,8,1066,139,140,1187,995
2022,Public,2,51,1738,6661,0,10,1279,1334,469,1617,707
2021,Private,6,326,2908,15205,0,10,3166,584,101,3487,3320
2021,Public,7,30,526,2452,0,13,426,50,107,666,436
2023,Public,3,9,365,1545,0,6,242,349,73,474,145
2021,Private,7,42,385,1934,0,10,463,85,99,590,440
2022,Public,3,9,327,1365,0,4,268,363,75,408,139
2021,Public,8,29,631,2952,0,10,549,49,23,577,392
2021,Private,8,29,438,2161,0,7,377,48,8,402,366
2021,Public,9,29,372,213,0,8,408,56,42,521,441
2022,Private,3,100,1181,4874,0,16,1167,772,163,1360,740
2021,Private,9,126,873,4858,0,10,1016,235,66,1240,1269
2021,Public,10,17,308,1665,0,0,391,31,39,351,334
2021,Private,10,30,331,1715,0,5,278,58,18,404,339
2021,Public,11,10,152,864,0,5,198,12,29,210,128
2022,Private,4,148,2203,10042,0,32,2274,1522,118,1925,1664
2021,Private,11,10,102,538,0,0,161,17,11,109,143
2022,Public,4,40,2145,9897,0,29,2108,1255,195,1363,820
2021,Public,12,13,331,1776,0,0,408,23,67,413,308
2021,Private,12,5,43,235,0,0,43,10,7,51,29
2021,Public,13,15,318,1648,0,1,364,25,47,267,242
2021,Private,13,19,216,1102,0,0,259,36,17,231,224
2022,Private,5,70,765,3524,0,4,919,748,61,1016,801
2021,Public,14,7,201,986,0,0,219,10,36,276,148
2022,Public,5,9,272,1416,0,9,338,352,104,319,256
2021,Private,14,2,37,202,0,0,22,4,2,33,26
2023,Public,5,9,353,1446,0,13,366,349,94,348,267
2021,Public,15,14,230,1245,0,4,268,26,33,269,395
2021,Private,15,3,32,186,0,0,39,5,5,45,51
2022,Private,6,325,3246,15099,0,44,3390,2695,119,3881,2734
2021,Public,16,13,249,1344,0,3,254,21,36,260,253
2022,Public,6,73,1203,5691,0,8,1304,1089,132,1189,820
2021,Private,16,16,142,785,0,0,159,30,29,198,236
2021,Public,17,14,169,927,0,1,186,22,13,193,156
2021,Private,17,9,142,732,0,0,160,16,11,124,106
2021,Public,18,19,186,1056,0,4,267,36,27,259,264
2021,Private,18,5,35,169,0,0,28,10,2,50,36
2021,Public,19,21,439,2416,0,2,478,36,70,588,596
2022,Public,7,28,567,2546,0,29,457,656,116,616,404
2021,Private,19,4,19,119,0,1,26,5,4,50,61
2022,Private,7,37,404,2006,0,9,416,444,112,592,315
2021,Public,20,11,286,1629,0,0,306,18,52,294,255
2021,Private,20,26,155,863,0,0,270,27,28,224,253
2021,Public,21,5,90,524,0,1,79,6,15,135,71
2021,Private,21,0,0,0,0,0,0,0,0,0,0
2021,Public,22,6,60,358,0,0,61,12,7,131,165
2021,Private,22,26,247,1283,0,1,264,46,4,272,280
2021,Public,23,8,324,1034,0,27,172,16,28,294,156
2022,Private,8,30,568,239,0,13,409,317,11,385,328
2021,Private,23,0,0,0,0,0,0,0,0,0,0
2021,Public,24,16,161,938,0,6,211,29,45,227,279
2022,Public,8,29,715,3009,0,8,542,507,23,623,376
2021,Private,24,14,93,528,0,1,86,19,8,129,112
2021,Public,25,23,352,1748,0,3,352,46,72,551,488
2021,Private,25,63,647,2810,0,9,629,116,51,802,917
2022,Public,9,29,388,2131,0,13,468,489,48,470,321
2021,Public,26,13,157,640,0,2,198,21,59,208,189
2021,Private,26,12,100,543,0,0,146,23,36,131,83
2021,Public,27,17,98,625,0,0,163,33,7,185,206
2022,Private,9,136,944,5077,0,41,1012,1056,83,1700,999
2021,Private,27,61,387,2083,0,8,587,102,25,530,593
2022,Public,10,17,400,1717,0,2,369,343,44,346,292
2021,Public,28,9,158,653,0,1,180,15,4,136,188
2021,Private,28,5,46,283,0,0,63,9,0,59,53
2021,Public,29,16,167,786,0,0,232,29,33,185,263
2022,Private,10,30,402,1755,0,17,344,265,19,366,259
2021,Private,29,4,23,112,0,0,30,8,2,28,60
2021,Public,30,12,400,2132,0,1,462,23,121,446,425
2023,Public,10,18,522,1934,0,8,371,341,45,486,324
2021,Private,30,2,31,149,0,0,57,3,1,22,24
2021,Public,31,18,398,1906,0,7,323,31,61,519,434
2022,Private,11,11,152,583,0,2,139,115,13,129,116
2021,Private,31,32,329,1809,0,8,397,58,34,436,442
2021,Public,32,30,505,2155,0,11,498,46,120,526,554
2021,Private,32,11,158,600,0,0,122,14,16,109,89
2021,Public,33,7,91,618,0,0,105,13,18,106,108
2022,Public,11,10,210,915,0,14,204,129,35,177,129
2021,Private,33,3,48,327,0,0,26,6,1,47,37
2021,Public,34,4,43,242,0,0,51,7,0,50,37
2023,Public,12,16,568,2011,0,11,448,380,72,499,307
2021,Private,34,1,3,32,0,0,6,2,0,7,9
2023,Private,12,8,126,361,0,0,70,57,5,77,46
