Year,Status,No.,School Grade,Value
2021,Private,1,Not-yet,41
2023,Private,1,B,29
2022,Private,1,B,28
2023,Private,1,A,26
2022,Private,1,Not-yet,25
2021,Private,1,B,19
2022,Private,1,A,16
2023,Private,1,Not-yet,11
2021,Private,1,A,11
2023,Public,1,A,8
2023,Private,1,C,7
2021,Public,1,Not-yet,7
2022,Private,1,C,6
2022,Public,1,A,5
2022,Public,1,Not-yet,5
2023,Public,1,B,3
2022,Public,1,B,3
2021,Public,1,A,3
2021,Public,1,B,3
2021,Private,1,C,3
2023,Public,1,No,1
2023,Public,1,Not-yet,1
2022,Private,1,No,1
2021,Private,1,No,1
2023,Private,1,No,0
2022,Public,1,No,0
2021,Public,1,No,0
2023,Public,1,C,0
2022,Public,1,C,0
2021,Public,1,C,0
2021,Private,2,Not-yet,234
2022,Private,2,Not-yet,211
2023,Private,2,Not-yet,131
2023,Private,2,B,113
2022,Private,2,B,64
2023,Private,2,C,56
2022,Private,2,C,51
2021,Private,2,B,50
2021,Private,2,C,50
2021,Public,2,Not-yet,42
2022,Public,2,Not-yet,40
2023,Private,2,A,24
2023,Public,2,Not-yet,24
2023,Public,2,A,15
2022,Private,2,A,12
2023,Public,2,B,10
2023,Private,2,No,7
2023,Public,2,No,7
2022,Public,2,A,7
2021,Private,2,A,5
2022,Public,2,B,4
2021,Public,2,B,4
2022,Public,2,No,0
2022,Private,2,No,0
2021,Public,2,No,0
2021,Private,2,No,0
2021,Public,2,A,0
2023,Public,2,C,0
2022,Public,2,C,0
2021,Public,2,C,0
2023,Private,3,B,42
2023,Private,3,C,42
2022,Private,3,B,42
2022,Private,3,C,42
2021,Private,3,C,40
2021,Private,3,B,39
2023,Private,3,Not-yet,13
2021,Private,3,Not-yet,12
2022,Private,3,Not-yet,11
2023,Private,3,A,5
2023,Public,3,A,5
2022,Public,3,A,5
2022,Private,3,A,5
2021,Public,3,Not-yet,5
2021,Private,3,A,5
2023,Public,3,B,2
2023,Public,3,Not-yet,2
2022,Public,3,B,2
2022,Public,3,Not-yet,2
2021,Public,3,A,2
2023,Private,3,No,1
2021,Public,3,B,1
2023,Public,3,No,0
2022,Public,3,No,0
2022,Private,3,No,0
2021,Public,3,No,0
2021,Private,3,No,0
2023,Public,3,C,0
2022,Public,3,C,0
2021,Public,3,C,0
2023,Private,4,B,76
2022,Private,4,B,69
2021,Private,4,B,62
2021,Private,4,Not-yet,38
2021,Private,4,C,37
2023,Private,4,C,36
2022,Private,4,C,36
2022,Private,4,Not-yet,29
2023,Public,4,B,20
2023,Private,4,A,19
2023,Private,4,Not-yet,15
2022,Public,4,B,15
2021,Public,4,Not-yet,15
2023,Public,4,A,14
2022,Private,4,A,14
2021,Public,4,B,14
2022,Public,4,A,13
2021,Private,4,A,13
2022,Public,4,Not-yet,9
2021,Public,4,A,8
2023,Public,4,Not-yet,4
2023,Public,4,C,3
2022,Public,4,C,3
2021,Public,4,C,2
2023,Private,4,No,1
2023,Public,4,No,0
