Year,Status,No.,Province,Electricity,Total
2023,Public,1,DKI Jakarta,Unavaiable,0
2023,Private,1,DKI Jakarta,Unavaiable,0
2023,Public,2,Jawa Barat,Unavaiable,0
2023,Private,2,Jawa Barat,Unavaiable,0
2023,Private,3,Banten,Unavaiable,0
2023,Public,3,Banten,Unavaiable,0
2023,Public,4,Jawa Tengah,Unavaiable,0
2023,Private,4,Jawa Tengah,Unavaiable,0
2023,Private,5,DI Yogyakarta,Unavaiable,0
2023,Public,5,DI Yogyakarta,Unavaiable,0
2023,Private,6,Jawa Timur,Unavaiable,0
2023,Public,6,Jawa Timur,Unavaiable,0
2023,Private,7,Aceh,Unavaiable,0
2023,Public,7,Aceh,Unavaiable,0
2023,Private,8,Sumatera Utara,Unavaiable,0
2023,Private,9,Sumatera Barat,Unavaiable,0
2023,Public,9,Sumatera Barat,Unavaiable,0
2023,Public,10,Riau,Unavaiable,0
2023,Private,10,Riau,Unavaiable,0
2023,Private,11,Kepulauan Riau,Unavaiable,0
2023,Public,11,Kepulauan Riau,Unavaiable,0
2023,Private,12,Jambi,Unavaiable,0
2023,Public,12,Jambi,Unavaiable,0
2023,Public,13,Sumatera Selatan,Unavaiable,0
2023,Private,13,Sumatera Selatan,Unavaiable,0
2023,Public,14,Kep. Bangka Belitung,Unavaiable,0
2023,Private,14,Kep. Bangka Belitung,Unavaiable,0
2023,Private,15,Bengkulu,Unavaiable,0
2023,Public,15,Bengkulu,Unavaiable,0
2023,Private,16,Lampung,Unavaiable,0
2023,Public,16,Lampung,Unavaiable,0
2023,Private,17,Kalimantan Barat,Unavaiable,0
2023,Public,17,Kalimantan Barat,Unavaiable,0
2023,Private,18,Kalimantan Tengah,Unavaiable,0
2023,Public,18,Kalimantan Tengah,Unavaiable,0
2023,Private,19,Kalimantan Selatan,Unavaiable,0
2023,Public,19,Kalimantan Selatan,Unavaiable,0
2023,Public,20,Kalimantan Timur,Unavaiable,0
2023,Private,20,Kalimantan Timur,Unavaiable,0
2023,Public,21,Kalimantan Utara,Unavaiable,0
2023,Private,21,Kalimantan Utara,Unavaiable,0
2023,Private,22,Sulawesi Utara,Unavaiable,0
2023,Public,22,Sulawesi Utara,Unavaiable,0
2023,Public,23,Gorontalo,Unavaiable,0
2023,Private,23,Gorontalo,Unavaiable,0
2023,Private,24,Sulawesi Tengah,Unavaiable,0
2023,Public,24,Sulawesi Tengah,Unavaiable,0
2023,Private,25,Sulawesi Selatan,Unavaiable,0
2023,Public,25,Sulawesi Selatan,Unavaiable,0
2023,Private,26,Sulawesi Barat,Unavaiable,0
2023,Public,26,Sulawesi Barat,Unavaiable,0
2023,Private,27,Sulawesi Tenggara,Unavaiable,0
2023,Public,27,Sulawesi Tenggara,Unavaiable,0
2023,Public,28,Maluku,Unavaiable,0
2023,Private,28,Maluku,Unavaiable,0
2023,Private,29,Maluku Utara,Unavaiable,0
2023,Public,29,Maluku Utara,Unavaiable,0
2023,Private,30,Bali,Unavaiable,0
2023,Public,30,Bali,Unavaiable,0
2023,Private,31,Nusa Tenggara Barat,Unavaiable,0
2023,Public,31,Nusa Tenggara Barat,Unavaiable,0
2023,Private,32,Nusa Tenggara Timur,Unavaiable,0
2023,Public,32,Nusa Tenggara Timur,Unavaiable,0
2023,Public,33,Papua,Unavaiable,0
2023,Private,33,Papua,Unavaiable,0
2023,Public,34,Papua Barat,Unavaiable,0
2023,Private,34,Papua Barat,Unavaiable,0
2023,Private,35,Papua Selatan,Unavaiable,0
2023,Public,35,Papua Selatan,Unavaiable,0
2023,Private,36,Papua Tengah,Unavaiable,0
2023,Public,36,Papua Tengah,Unavaiable,0
2023,Private,37,Papua Pegunungan,Unavaiable,0
2023,Public,37,Papua Pegunungan,Unavaiable,0
2023,Private,38,Papua Barat Daya,Unavaiable,0
2023,Public,38,Papua Barat Daya,Unavaiable,0
2022,Public,1,DKI Jakarta,Unavaiable,0
2022,Private,1,DKI Jakarta,Unavaiable,0
2022,Private,2,Jawa Barat,Unavaiable,0
2022,Public,2,Jawa Barat,Unavaiable,0
2022,Public,3,Banten,Unavaiable,0
2022,Private,3,Banten,Unavaiable,0
2022,Public,4,Jawa Tengah,Unavaiable,0
2022,Private,4,Jawa Tengah,Unavaiable,0
2022,Private,5,DI Yogyakarta,Unavaiable,0
2022,Public,5,DI Yogyakarta,Unavaiable,0
2022,Private,6,Jawa Timur,Unavaiable,0
2022,Public,6,Jawa Timur,Unavaiable,0
2022,Public,7,Aceh,Unavaiable,0
2022,Private,8,Sumatera Utara,Unavaiable,0
2022,Public,9,Sumatera Barat,Unavaiable,0
2022,Public,10,Riau,Unavaiable,0
2022,Private,10,Riau,Unavaiable,0
2022,Private,11,Kepulauan Riau,Unavaiable,0
