Year,Status,No.,Disability Type,Total
2023,Private,1,Physically Handicapped,70
2023,Private,1,Others,707
2023,Private,1,Mentally Retarded,1915
2023,Private,1,Blind,36
2023,Private,1,Deaf,741
2022,Private,1,Blind,53
2022,Private,1,Others,572
2022,Private,1,Deaf,795
2022,Private,1,Mentally Retarded,1884
2022,Private,1,Physically Handicapped,68
2021,Private,1,Deaf,928
2021,Private,1,Blind,60
2021,Private,1,Mentally Retarded,1937
2021,Private,1,Physically Handicapped,75
2021,Private,1,Others,489
2023,Public,1,Physically Handicapped,21
2023,Public,1,Others,457
2023,Public,1,Mentally Retarded,1594
2023,Public,1,Blind,102
2023,Public,1,Deaf,558
2022,Public,1,Others,244
2022,Public,1,Deaf,672
2022,Public,1,Blind,102
2022,Public,1,Physically Handicapped,27
2022,Public,1,Mentally Retarded,1581
2021,Public,1,Blind,118
2021,Public,1,Mentally Retarded,1580
2021,Public,1,Deaf,664
2021,Public,1,Others,213
2021,Public,1,Physically Handicapped,29
2023,Private,2,Deaf,3084
2023,Private,2,Mentally Retarded,12625
2023,Private,2,Physically Handicapped,608
2023,Private,2,Others,3880
2023,Private,2,Blind,379
2022,Private,2,Physically Handicapped,719
2022,Private,2,Deaf,3301
2022,Private,2,Mentally Retarded,12061
2022,Private,2,Others,3432
2022,Private,2,Blind,403
2021,Private,2,Others,2836
2021,Private,2,Mentally Retarded,11879
2021,Private,2,Physically Handicapped,703
2021,Private,2,Blind,390
2021,Private,2,Deaf,3404
2023,Public,2,Blind,322
2023,Public,2,Physically Handicapped,423
2023,Public,2,Mentally Retarded,4389
2023,Public,2,Deaf,1422
2023,Public,2,Others,1343
2022,Public,2,Mentally Retarded,3789
2022,Public,2,Physically Handicapped,390
2022,Public,2,Deaf,1290
2022,Public,2,Others,888
2022,Public,2,Blind,304
2021,Public,2,Physically Handicapped,311
2021,Public,2,Others,586
2021,Public,2,Mentally Retarded,3255
2021,Public,2,Blind,285
2021,Public,2,Deaf,1168
2023,Private,3,Physically Handicapped,227
2023,Private,3,Others,1726
2023,Private,3,Mentally Retarded,2384
2023,Private,3,Blind,103
2023,Private,3,Deaf,687
2022,Private,3,Deaf,751
2022,Private,3,Blind,102
2022,Private,3,Others,1456
2022,Private,3,Physically Handicapped,247
2022,Private,3,Mentally Retarded,2318
2021,Private,3,Mentally Retarded,2393
2021,Private,3,Deaf,765
2021,Private,3,Blind,113
2021,Private,3,Others,1247
2021,Private,3,Physically Handicapped,257
2023,Public,3,Blind,48
2023,Public,3,Mentally Retarded,812
2023,Public,3,Deaf,314
2023,Public,3,Physically Handicapped,45
2023,Public,3,Others,326
2022,Public,3,Blind,42
2022,Public,3,Others,236
2022,Public,3,Deaf,314
2022,Public,3,Physically Handicapped,51
2022,Public,3,Mentally Retarded,722
2021,Public,3,Deaf,287
2021,Public,3,Blind,39
2021,Public,3,Mentally Retarded,726
2021,Public,3,Others,178
2021,Public,3,Physically Handicapped,51
2023,Private,4,Physically Handicapped,269
2023,Private,4,Others,2027
2023,Private,4,Mentally Retarded,6308
2023,Private,4,Blind,159
2023,Private,4,Deaf,1859
2022,Private,4,Mentally Retarded,6063
2022,Private,4,Physically Handicapped,396
2022,Private,4,Deaf,1837
2022,Private,4,Blind,170
2022,Private,4,Others,1576
2021,Private,4,Physically Handicapped,450
2021,Private,4,Others,1382
2021,Private,4,Mentally Retarded,6105
2021,Private,4,Deaf,1959
2021,Private,4,Blind,173
2023,Public,4,Deaf,1964
2023,Public,4,Blind,314
2023,Public,4,Mentally Retarded,6353
2023,Public,4,Others,1271
2023,Public,4,Physically Handicapped,448
2022,Public,4,Others,1043
2022,Public,4,Physically Handicapped,459
2022,Public,4,Blind,283
2022,Public,4,Deaf,1893
2022,Public,4,Mentally Retarded,6219
2021,Public,4,Blind,261
2021,Public,4,Others,773
2021,Public,4,Deaf,1838
2021,Public,4,Mentally Retarded,5961
2021,Public,4,Physically Handicapped,433
2023,Private,5,Deaf,282
2023,Private,5,Mentally Retarded,2056
2023,Private,5,Physically Handicapped,113
2023,Private,5,Others,1058
2023,Private,5,Blind,74
2022,Private,5,Physically Handicapped,171
2022,Private,5,Others,759
2022,Private,5,Mentally Retarded,2086
2022,Private,5,Deaf,422
2022,Private,5,Blind,86
2021,Private,5,Others,650
2021,Private,5,Blind,80
2021,Private,5,Physically Handicapped,186
2021,Private,5,Mentally Retarded,2163
2021,Private,5,Deaf,417
2023,Public,5,Blind,34
2023,Public,5,Mentally Retarded,891
2023,Public,5,Deaf,214
2023,Public,5,Others,256
2023,Public,5,Physically Handicapped,51
2022,Public,5,Mentally Retarded,884
2022,Public,5,Physically Handicapped,70
