Year,Status,Gender,No.,Total
2021,Public,Male,1,9
2021,Private,Male,1,71
2021,Public,Female,1,13
2021,Private,Female,1,74
2021,Public,Male,2,34
2021,Private,Male,2,311
2021,Public,Female,2,42
2021,Private,Female,2,334
2021,Public,Male,3,7
2021,Private,Male,3,64
2021,Public,Female,3,7
2021,Private,Female,3,90
2021,Public,Male,4,27
2021,Private,Male,4,135
2021,Public,Female,4,39
2021,Private,Female,4,141
2021,Public,Male,5,9
2021,Private,Male,5,59
2021,Public,Female,5,9
2021,Private,Female,5,67
2021,Public,Male,6,68
2021,Private,Male,6,311
2021,Public,Female,6,71
2021,Private,Female,6,273
2021,Public,Male,7,23
2021,Private,Male,7,44
2021,Public,Female,7,27
2021,Private,Female,7,41
2021,Public,Male,8,21
2021,Private,Male,8,22
2021,Public,Female,8,28
2021,Private,Female,8,26
2021,Public,Male,9,27
2021,Private,Male,9,114
2021,Public,Female,9,29
2021,Private,Female,9,121
2021,Public,Male,10,15
2021,Private,Male,10,28
2021,Public,Female,10,16
2021,Private,Female,10,30
2021,Public,Male,11,6
2021,Private,Male,11,8
2021,Public,Female,11,6
2021,Private,Female,11,9
2021,Public,Male,12,10
2021,Private,Male,12,5
2021,Public,Female,12,13
2021,Private,Female,12,5
2021,Public,Male,13,12
2021,Private,Male,13,17
2021,Public,Female,13,13
2021,Private,Female,13,19
2021,Public,Male,14,3
2021,Private,Male,14,2
2021,Public,Female,14,7
2021,Private,Female,14,2
2021,Public,Male,15,12
2021,Private,Male,15,2
2021,Public,Female,15,14
2021,Private,Female,15,3
2021,Public,Male,16,10
2021,Private,Male,16,14
2021,Public,Female,16,11
2021,Private,Female,16,16
2021,Public,Male,17,11
2021,Private,Male,17,7
2021,Public,Female,17,11
2021,Private,Female,17,9
2021,Public,Male,18,17
2021,Private,Male,18,5
2021,Public,Female,18,19
2021,Private,Female,18,5
2021,Public,Male,19,16
2021,Private,Male,19,2
2021,Public,Female,19,20
2021,Private,Female,19,3
2021,Public,Male,20,9
2021,Private,Male,20,10
2021,Public,Female,20,9
2021,Private,Female,20,17
2021,Public,Male,21,3
2021,Private,Male,21,0
2021,Public,Female,21,3
2021,Private,Female,21,0
2021,Public,Male,22,6
2021,Private,Male,22,22
2021,Public,Female,22,6
2021,Private,Female,22,24
2021,Public,Male,23,8
2021,Private,Male,23,0
2021,Public,Female,23,8
2021,Private,Female,23,0
2021,Public,Male,24,13
2021,Private,Male,24,8
2021,Public,Female,24,16
2021,Private,Female,24,11
2021,Public,Male,25,23
2021,Private,Male,25,56
2021,Public,Female,25,23
2021,Private,Female,25,60
2021,Public,Male,26,9
2021,Private,Male,26,11
2021,Public,Female,26,12
2021,Private,Female,26,12
2021,Public,Male,27,16
2021,Private,Male,27,48
2021,Public,Female,27,17
2021,Private,Female,27,54
2021,Public,Male,28,7
2021,Private,Male,28,4
2021,Public,Female,28,8
2021,Private,Female,28,5
2021,Public,Male,29,14
2021,Private,Male,29,4
2021,Public,Female,29,15
2021,Private,Female,29,4
2021,Public,Male,30,11
2021,Private,Male,30,1
2021,Public,Female,30,12
2021,Private,Female,30,2
2021,Public,Male,31,14
2021,Private,Male,31,26
2021,Public,Female,31,17
2021,Private,Female,31,32
2021,Public,Male,32,22
2021,Private,Male,32,7
2021,Public,Female,32,24
2021,Private,Female,32,7
2021,Public,Male,33,6
2021,Private,Male,33,3
2021,Public,Female,33,7
2021,Private,Female,33,3
2021,Public,Male,34,3
2021,Private,Male,34,1
2021,Public,Female,34,4
2021,Private,Female,34,1
2022,Private,Male,1,163
2022,Private,Female,1,552
2022,Private,Male,2,787
2022,Private,Female,2,2121
2022,Private,Male,3,182
2022,Private,Female,3,590
2022,Private,Male,4,413
2022,Private,Female,4,1109
2022,Private,Male,5,191
2022,Private,Female,5,557
2022,Private,Male,6,600
2022,Private,Female,6,2095
2022,Private,Male,7,67
2022,Private,Female,7,377
2022,Private,Male,8,54
2022,Private,Female,8,263
2022,Private,Male,9,120
2022,Private,Female,9,936
2022,Private,Male,10,50
2022,Private,Female,10,215
2022,Private,Male,11,13
2022,Private,Female,11,102
2022,Private,Male,12,4
2022,Private,Female,12,47
2022,Private,Male,13,34
2022,Private,Female,13,206
2022,Private,Male,14,1
2022,Private,Female,14,20
2022,Private,Male,15,10
2022,Private,Female,15,33
2022,Private,Male,16,45
2022,Private,Female,16,138
2022,Private,Male,17,26
2022,Private,Female,17,75
2022,Private,Male,18,5
2022,Private,Female,18,24
2022,Private,Male,19,7
2022,Private,Female,19,38
2022,Private,Male,20,36
2022,Private,Female,20,127
2022,Private,Male,21,0
2022,Private,Female,21,0
2022,Private,Male,22,47
2022,Private,Female,22,162
2022,Private,Male,23,0
2022,Private,Female,23,0
2022,Private,Male,24,24
2022,Private,Female,24,87
2022,Private,Male,25,144
2022,Private,Female,25,481
2022,Private,Male,26,22
2022,Private,Female,26,46
2022,Private,Male,27,137
2022,Private,Female,27,401
2022,Private,Male,28,4
2022,Private,Female,28,40
2022,Private,Male,29,10
2022,Private,Female,29,23
2022,Private,Male,30,8
2022,Private,Female,30,14
2022,Private,Male,31,139
2022,Private,Female,31,264
2022,Private,Male,32,34
2022,Private,Female,32,84
2022,Private,Male,33,7
2022,Private,Female,33,23
2022,Private,Male,34,2
2022,Private,Female,34,6
2022,Public,Male,1,171
2022,Public,Female,1,400
2022,Public,Male,2,446
2022,Public,Female,2,888
2022,Public,Male,3,112
2022,Public,Female,3,251
2022,Public,Male,4,366
2022,Public,Female,4,889
2022,Public,Male,5,114
2022,Public,Female,5,238
2022,Public,Male,6,309
2022,Public,Female,6,780
2022,Public,Male,7,148
2022,Public,Female,7,508
2022,Public,Male,8,107
2022,Public,Female,8,400
2022,Public,Male,9,100
2022,Public,Female,9,389
2022,Public,Male,10,87
2022,Public,Female,10,256
2022,Public,Male,11,24
2022,Public,Female,11,105
2022,Public,Male,12,92
2022,Public,Female,12,267
2022,Public,Male,13,62
2022,Public,Female,13,202
2022,Public,Male,14,38
2022,Public,Female,14,106
2022,Public,Male,15,71
2022,Public,Female,15,205
2022,Public,Male,16,81
2022,Public,Female,16,175
2022,Public,Male,17,36
2022,Public,Female,17,101
2022,Public,Male,18,91
2022,Public,Female,18,239
2022,Public,Male,19,205
2022,Public,Female,19,425
2022,Public,Male,20,68
2022,Public,Female,20,178
2022,Public,Male,21,32
2022,Public,Female,21,57
2022,Public,Male,22,27
2022,Public,Female,22,72
2022,Public,Male,23,63
2022,Public,Female,23,166
2022,Public,Male,24,38
2022,Public,Female,24,131
2022,Public,Male,25,146
2022,Public,Female,25,442
2022,Public,Male,26,64
2022,Public,Female,26,149
2022,Public,Male,27,46
2022,Public,Female,27,124
2022,Public,Male,28,19
2022,Public,Female,28,108
2022,Public,Male,29,36
2022,Public,Female,29,181
2022,Public,Male,30,141
2022,Public,Female,30,210
2022,Public,Male,31,132
2022,Public,Female,31,272
2022,Public,Male,32,184
2022,Public,Female,32,412
2022,Public,Male,33,30
2022,Public,Female,33,65
2022,Public,Male,34,6
2022,Public,Female,34,20
2023,Public,Male,1,185
2023,Public,Female,1,428
2023,Public,Male,2,478
2023,Public,Female,2,993
2023,Public,Male,3,107
2023,Public,Female,3,242
2023,Public,Male,4,361
2023,Public,Female,4,925
2023,Public,Male,5,111
2023,Public,Female,5,238
2023,Public,Male,6,295
2023,Public,Female,6,787
2023,Public,Male,7,168
2023,Public,Female,7,555
2023,Public,Male,8,116
2023,Public,Female,8,413
2023,Public,Male,9,94
2023,Public,Female,9,407
2023,Public,Male,10,88
2023,Public,Female,10,253
2023,Public,Male,11,30
2023,Public,Female,11,115
2023,Public,Male,12,89
2023,Public,Female,12,291
2023,Public,Male,13,64
2023,Public,Female,13,225
2023,Public,Male,14,35
2023,Public,Female,14,112
2023,Public,Male,15,66
2023,Public,Female,15,213
2023,Public,Male,16,62
2023,Public,Female,16,163
2023,Public,Male,17,38
2023,Public,Female,17,98
2023,Public,Male,18,78
2023,Public,Female,18,233
2023,Public,Male,19,219
2023,Public,Female,19,444
2023,Public,Male,20,75
2023,Public,Female,20,186
2023,Public,Male,21,31
2023,Public,Female,21,56
2023,Public,Male,22,30
2023,Public,Female,22,68
2023,Public,Male,23,59
2023,Public,Female,23,154
2023,Public,Male,24,30
2023,Public,Female,24,118
2023,Public,Male,25,138
2023,Public,Female,25,456
