Year,Status,Gender,No.,Certified,Value
2023,Public,Male,1,Certified,101
2023,Public,Female,1,Not Yet Certified,270
2023,Public,Male,1,Not Yet Certified,84
2023,Public,Female,1,Not Yet Certified,158
2023,Public,Male,2,Certified,204
2023,Public,Female,2,Not Yet Certified,546
2023,Public,Male,2,Not Yet Certified,274
2023,Public,Female,2,Not Yet Certified,447
2023,Public,Male,3,Certified,74
2023,Public,Female,3,Not Yet Certified,188
2023,Public,Male,3,Not Yet Certified,33
2023,Public,Female,3,Not Yet Certified,54
2023,Public,Male,4,Certified,189
2023,Public,Female,4,Not Yet Certified,572
2023,Public,Male,4,Not Yet Certified,172
2023,Public,Female,4,Not Yet Certified,353
2023,Public,Male,5,Certified,91
2023,Public,Female,5,Not Yet Certified,205
2023,Public,Male,5,Not Yet Certified,20
2023,Public,Female,5,Not Yet Certified,33
2023,Public,Male,6,Certified,138
2023,Public,Female,6,Not Yet Certified,487
2023,Public,Male,6,Not Yet Certified,157
2023,Public,Female,6,Not Yet Certified,300
2023,Public,Male,7,Certified,60
2023,Public,Female,7,Not Yet Certified,192
2023,Public,Male,7,Not Yet Certified,108
2023,Public,Female,7,Not Yet Certified,363
2023,Public,Male,8,Certified,32
2023,Public,Female,8,Not Yet Certified,147
2023,Public,Male,8,Not Yet Certified,84
2023,Public,Female,8,Not Yet Certified,266
2023,Public,Male,9,Certified,38
2023,Public,Female,9,Not Yet Certified,228
2023,Public,Male,9,Not Yet Certified,56
2023,Public,Female,9,Not Yet Certified,179
2023,Public,Male,10,Certified,32
2023,Public,Female,10,Not Yet Certified,96
2023,Public,Male,10,Not Yet Certified,56
2023,Public,Female,10,Not Yet Certified,157
2023,Public,Male,11,Certified,7
2023,Public,Female,11,Not Yet Certified,34
2023,Public,Male,11,Not Yet Certified,23
2023,Public,Female,11,Not Yet Certified,81
2023,Public,Male,12,Certified,21
2023,Public,Female,12,Not Yet Certified,69
2023,Public,Male,12,Not Yet Certified,68
2023,Public,Female,12,Not Yet Certified,222
2023,Public,Male,13,Certified,28
2023,Public,Female,13,Not Yet Certified,78
2023,Public,Male,13,Not Yet Certified,36
2023,Public,Female,13,Not Yet Certified,147
2023,Public,Male,14,Certified,11
2023,Public,Female,14,Not Yet Certified,51
2023,Public,Male,14,Not Yet Certified,24
2023,Public,Female,14,Not Yet Certified,61
2023,Public,Male,15,Certified,17
2023,Public,Female,15,Not Yet Certified,54
2023,Public,Male,15,Not Yet Certified,49
2023,Public,Female,15,Not Yet Certified,159
2023,Public,Male,16,Certified,16
2023,Public,Female,16,Not Yet Certified,75
2023,Public,Male,16,Not Yet Certified,46
2023,Public,Female,16,Not Yet Certified,88
2023,Public,Male,17,Certified,13
2023,Public,Female,17,Not Yet Certified,22
2023,Public,Male,17,Not Yet Certified,25
2023,Public,Female,17,Not Yet Certified,76
2023,Public,Male,18,Certified,21
2023,Public,Female,18,Not Yet Certified,39
2023,Public,Male,18,Not Yet Certified,57
2023,Public,Female,18,Not Yet Certified,194
2023,Public,Male,19,Certified,67
2023,Public,Female,19,Not Yet Certified,169
2023,Public,Male,19,Not Yet Certified,152
2023,Public,Female,19,Not Yet Certified,275
2023,Public,Male,20,Certified,27
2023,Public,Female,20,Not Yet Certified,71
2023,Public,Male,20,Not Yet Certified,48
2023,Public,Female,20,Not Yet Certified,115
2023,Public,Male,21,Certified,9
2023,Public,Female,21,Not Yet Certified,16
2023,Public,Male,21,Not Yet Certified,22
2023,Public,Female,21,Not Yet Certified,40
2023,Public,Male,22,Certified,7
2023,Public,Female,22,Not Yet Certified,23
2023,Public,Male,22,Not Yet Certified,23
2023,Public,Female,22,Not Yet Certified,45
2023,Public,Male,23,Certified,7
2023,Public,Female,23,Not Yet Certified,35
2023,Public,Male,23,Not Yet Certified,52
2023,Public,Female,23,Not Yet Certified,119
2023,Public,Male,24,Certified,5
2023,Public,Female,24,Not Yet Certified,38
2023,Public,Male,24,Not Yet Certified,25
2023,Public,Female,24,Not Yet Certified,80
2023,Public,Male,25,Certified,66
2023,Public,Female,25,Not Yet Certified,262
2023,Public,Male,25,Not Yet Certified,72
2023,Public,Female,25,Not Yet Certified,194
2023,Public,Male,26,Certified,15
2023,Public,Female,26,Not Yet Certified,39
2023,Public,Male,26,Not Yet Certified,41
2023,Public,Female,26,Not Yet Certified,111
2023,Public,Male,27,Certified,14
2023,Public,Female,27,Not Yet Certified,32
2023,Public,Male,27,Not Yet Certified,31
2023,Public,Female,27,Not Yet Certified,103
2023,Public,Male,28,Certified,3
2023,Public,Female,28,Not Yet Certified,12
2023,Public,Male,28,Not Yet Certified,17
2023,Public,Female,28,Not Yet Certified,97
2023,Public,Male,29,Certified,6
2023,Public,Female,29,Not Yet Certified,17
2023,Public,Male,29,Not Yet Certified,39
2023,Public,Female,29,Not Yet Certified,129
2023,Public,Male,30,Certified,65
2023,Public,Female,30,Not Yet Certified,114
2023,Public,Male,30,Not Yet Certified,70
2023,Public,Female,30,Not Yet Certified,96
2023,Public,Male,31,Certified,54
2023,Public,Female,31,Not Yet Certified,109
2023,Public,Male,31,Not Yet Certified,85
2023,Public,Female,31,Not Yet Certified,180
2023,Public,Male,32,Certified,22
2023,Public,Female,32,Not Yet Certified,79
2023,Public,Male,32,Not Yet Certified,156
2023,Public,Female,32,Not Yet Certified,352
2023,Public,Male,33,Certified,7
2023,Public,Female,33,Not Yet Certified,20
2023,Public,Male,33,Not Yet Certified,13
2023,Public,Female,33,Not Yet Certified,16
2023,Public,Male,34,Certified,0
2023,Public,Female,34,Not Yet Certified,0
2023,Public,Male,34,Not Yet Certified,0
2023,Public,Female,34,Not Yet Certified,0
2023,Public,Male,34,Certified,5
2023,Public,Female,34,Not Yet Certified,8
2023,Public,Male,34,Not Yet Certified,3
2023,Public,Female,34,Not Yet Certified,11
2023,Public,Male,34,Certified,0
2023,Public,Female,34,Not Yet Certified,0
2023,Public,Male,34,Not Yet Certified,2
2023,Public,Female,34,Not Yet Certified,8
2023,Public,Male,34,Certified,0
2023,Public,Female,34,Not Yet Certified,0
2023,Public,Male,34,Not Yet Certified,0
2023,Public,Female,34,Not Yet Certified,0
2023,Public,Male,34,Certified,0
2023,Public,Female,34,Not Yet Certified,4
2023,Public,Male,34,Not Yet Certified,3
2023,Public,Female,34,Not Yet Certified,9
2023,Private,Male,1,Certified,67
2023,Private,Female,1,Not Yet Certified,194
2023,Private,Male,1,Not Yet Certified,89
2023,Private,Female,1,Not Yet Certified,302
2023,Private,Male,2,Certified,253
2023,Private,Female,2,Not Yet Certified,832
2023,Private,Male,2,Not Yet Certified,478
2023,Private,Female,2,Not Yet Certified,1194
2023,Private,Male,3,Certified,19
2023,Private,Female,3,Not Yet Certified,97
2023,Private,Male,3,Not Yet Certified,163
2023,Private,Female,3,Not Yet Certified,524
2023,Private,Male,4,Certified,127
2023,Private,Female,4,Not Yet Certified,331
2023,Private,Male,4,Not Yet Certified,258
2023,Private,Female,4,Not Yet Certified,708
2023,Private,Male,5,Certified,79
2023,Private,Female,5,Not Yet Certified,284
2023,Private,Male,5,Not Yet Certified,91
2023,Private,Female,5,Not Yet Certified,262
2023,Private,Male,6,Certified,152
2023,Private,Female,6,Not Yet Certified,697
2023,Private,Male,6,Not Yet Certified,421
2023,Private,Female,6,Not Yet Certified,1364
2023,Private,Male,7,Certified,2
2023,Private,Female,7,Not Yet Certified,33
2023,Private,Male,7,Not Yet Certified,47
2023,Private,Female,7,Not Yet Certified,300
2023,Private,Male,8,Certified,11
2023,Private,Female,8,Not Yet Certified,66
2023,Private,Male,8,Not Yet Certified,35
2023,Private,Female,8,Not Yet Certified,185
2023,Private,Male,9,Certified,18
2023,Private,Female,9,Not Yet Certified,216
2023,Private,Male,9,Not Yet Certified,87
2023,Private,Female,9,Not Yet Certified,678
2023,Private,Male,10,Certified,6
2023,Private,Female,10,Not Yet Certified,12
2023,Private,Male,10,Not Yet Certified,34
2023,Private,Female,10,Not Yet Certified,170
2023,Private,Male,11,Certified,0
2023,Private,Female,11,Not Yet Certified,11
2023,Private,Male,11,Not Yet Certified,14
2023,Private,Female,11,Not Yet Certified,91
2023,Private,Male,12,Certified,0
